primary_genre,receita_total_bi,receita_media_mi,qtd_filmes
Action,122.04,102.3,1193
Adventure,84.13,177.49,474
Comedy,75.77,48.63,1558
Drama,72.53,37.6,1929
Animation,35.85,190.7,188
Fantasy,19.48,107.64,181
Science Fiction,17.34,149.51,116
Horror,17.09,42.4,403
Thriller,15.35,59.26,259
Family,13.68,173.14,79
Crime,13.58,41.15,330
Romance,9.53,54.78,174
Mystery,4.18,45.92,91
War,2.12,42.47,50
History,1.97,50.63,39
Music,1.81,36.93,49
Western,1.46,33.86,43
Documentary,1.04,5.54,188
TV Movie,0.04,42.0,1
Foreign,0.03,4.3,6
