decade,qtd_filmes,receita_total_bi,receita_media_mi,receita_mediana_mi,roi_medio,nota_metadata_media,nota_usuarios_media
2010,2272,201.16,88.54,14.44,232438.15,6.25,3.06
2000,2235,173.43,77.6,25.2,238035.91,6.14,3.17
1990,1337,82.51,61.72,16.68,695.96,6.11,3.21
1980,891,32.21,36.15,14.28,2580239.11,6.16,3.26
1970,259,11.9,45.94,24.0,3082.62,6.63,3.57
1960,163,4.21,25.81,11.0,1200.72,6.86,3.68
1950,96,2.19,22.86,7.0,1055.01,6.92,3.78
1940,52,0.79,15.11,5.52,1254.26,7.07,3.96
1930,40,0.74,18.58,2.6,22974004.25,6.7,3.98
1920,21,0.05,2.32,0.7,804.77,7.08,3.96
