director,qtd_filmes,receita_total_bi,receita_media_mi,receita_mediana_mi,roi_medio,nota_metadata_media,nota_usuarios_media
Steven Spielberg,30,9.26,308.55,288.07,933.33,6.94,3.53
Peter Jackson,11,6.53,593.48,871.37,359.14,7.27,3.55
Michael Bay,13,6.44,495.19,449.22,291.53,6.39,2.99
James Cameron,8,5.9,737.58,281.1,577.93,7.31,3.71
David Yates,6,5.33,889.09,936.09,417.03,7.15,3.69
Christopher Nolan,10,4.75,474.74,447.05,344.23,7.72,3.91
Robert Zemeckis,17,4.14,243.43,195.74,413.05,6.86,3.36
Tim Burton,18,4.03,224.05,137.46,240.1,6.73,3.32
Ridley Scott,23,3.92,170.33,104.93,134.24,6.58,3.3
Chris Columbus,13,3.87,297.45,226.5,783.91,6.46,3.14
Roland Emmerich,11,3.8,345.31,266.0,212.12,5.93,2.78
Ron Howard,19,3.71,195.48,126.3,235.89,6.51,3.34
Gore Verbinski,10,3.58,357.53,196.78,176.79,6.44,3.18
J.J. Abrams,5,3.58,715.84,397.85,326.54,7.08,3.56
George Lucas,6,3.34,556.93,712.4,4479.64,6.88,3.54
Sam Raimi,10,3.19,319.38,69.84,992.51,6.49,3.22
Francis Lawrence,6,3.18,530.56,619.39,330.58,6.8,3.27
Clint Eastwood,29,3.1,106.92,68.67,344.77,6.79,3.39
Bill Condon,8,3.02,377.16,92.15,307.33,6.16,3.03
Joss Whedon,4,2.96,740.96,722.14,223.08,7.48,3.82
Bryan Singer,8,2.81,351.03,343.71,184.1,6.65,3.35
Andrew Stanton,4,2.77,693.59,730.82,378.39,7.07,3.44
M. Night Shyamalan,10,2.73,272.93,252.41,778.22,6.01,2.59
Sam Mendes,7,2.71,387.65,181.0,464.63,6.93,3.66
Jon Favreau,8,2.64,329.96,174.11,219.72,6.51,3.18
Andrew Adamson,5,2.61,521.37,484.41,405.77,6.62,3.52
Carlos Saldanha,4,2.53,633.11,580.56,608.87,6.45,3.03
Kyle Balda,3,2.53,841.88,1020.06,1012.19,6.3,2.45
Zack Snyder,7,2.48,353.74,185.26,198.1,6.49,2.88
Barry Sonnenfeld,11,2.4,217.99,115.1,182.34,6.1,2.91
James Wan,7,2.38,340.65,103.91,2665.98,6.9,3.24
Justin Lin,6,2.3,382.9,353.32,210.08,6.5,2.96
John Lasseter,5,2.26,451.2,461.98,453.09,6.84,3.2
Shawn Levy,10,2.22,221.86,171.24,229.9,6.04,2.73
Steven Soderbergh,17,2.16,127.15,63.37,242.09,6.23,3.18
Pete Docter,3,2.16,718.51,735.1,366.51,7.73,3.95
David Fincher,10,2.14,213.93,210.66,287.88,7.35,3.76
Tony Scott,16,2.13,133.1,146.61,328.64,6.48,3.29
Ron Clements,7,2.04,291.05,252.71,427.2,7.14,3.44
F. Gary Gray,9,2.0,221.9,95.23,278.71,6.69,3.41
Anthony Russo,3,2.0,666.17,714.77,274.44,6.7,3.4
Martin Scorsese,19,1.99,104.79,46.84,244.89,7.39,3.86
Brett Ratner,8,1.98,247.0,243.89,193.41,6.21,3.02
Raja Gosnell,9,1.93,214.14,173.96,305.41,5.43,1.94
Martin Campbell,8,1.87,233.71,217.76,153.47,6.18,3.0
Wolfgang Petersen,10,1.82,181.58,179.34,162.71,6.57,3.39
Rob Marshall,5,1.78,356.29,212.9,228.17,6.26,3.06
Todd Phillips,9,1.77,196.51,170.27,345.24,6.23,2.86
Richard Donner,14,1.74,124.16,63.58,392.64,6.58,3.34
Jay Roach,9,1.73,192.31,104.91,310.22,6.18,3.15
Jon Turteltaub,8,1.71,214.14,168.46,410.28,6.29,3.2
James Mangold,7,1.69,240.82,186.44,271.29,6.81,3.45
Eric Darnell,4,1.68,420.47,453.12,320.52,6.32,2.81
Alfonso Cuarón,5,1.67,333.05,69.96,355.24,7.22,3.61
James Gunn,3,1.64,545.69,773.33,199.86,7.37,3.74
Garry Marshall,13,1.63,125.67,57.04,657.55,5.98,2.69
Dennis Dugan,11,1.62,147.0,186.07,196.33,5.74,2.48
Ivan Reitman,12,1.61,134.53,123.08,533.5,5.94,3.01
Paul W.S. Anderson,11,1.61,146.74,122.2,207.34,5.82,2.87
Mike Mitchell,6,1.61,268.14,214.53,209.28,5.73,2.82
Gareth Edwards,3,1.59,529.79,529.08,469.1,6.57,2.96
