primary_genre,qtd_filmes,receita_total_bi,receita_media_mi,receita_mediana_mi,roi_medio,nota_metadata_media,nota_usuarios_media
Action,1193,122.04,102.3,27.48,521.63,6.04,2.99
Adventure,474,84.13,177.49,65.72,247029.46,6.33,3.19
Comedy,1558,75.77,48.63,17.13,262525.5,6.03,3.12
Drama,1929,72.53,37.6,9.0,1594366.3,6.48,3.48
Animation,188,35.85,190.7,71.35,623.35,6.51,3.22
Fantasy,181,19.48,107.64,42.72,338.09,6.19,3.15
Science Fiction,116,17.34,149.51,58.29,452.23,6.19,3.15
Horror,403,17.09,42.4,18.09,314198.01,5.79,2.93
Thriller,259,15.35,59.26,17.74,269.43,6.08,3.14
Family,79,13.68,173.14,47.09,528.37,6.14,3.14
Crime,330,13.58,41.15,14.73,221.93,6.52,3.41
Romance,174,9.53,54.78,13.25,313.56,6.13,3.3
Mystery,91,4.18,45.92,13.28,652.95,6.22,3.29
War,50,2.12,42.47,14.42,11046099.18,6.59,3.58
History,39,1.97,50.63,13.0,412.9,6.74,3.67
Music,49,1.81,36.93,14.87,275.2,6.53,3.12
Western,43,1.46,33.86,8.0,592.23,6.59,3.68
Documentary,188,1.04,5.54,0.31,12708.65,6.47,3.57
