keyword,qtd_filmes,receita_total_bi,receita_media_mi,receita_mediana_mi,roi_medio,nota_metadata_media,nota_usuarios_media
duringcreditsstinger,350,64.5,184.28,84.06,340.72,6.19,3.01
3d,113,47.93,424.17,246.23,303.09,6.23,2.88
aftercreditsstinger,183,42.47,232.1,102.22,16525.88,6.3,3.16
sequel,158,35.93,227.43,106.03,341.75,5.84,2.69
based on novel,312,33.77,108.25,37.41,307.76,6.54,3.4
superhero,83,30.33,365.44,280.0,222.85,6.26,3.06
based on comic,79,26.69,337.85,230.88,201.66,6.43,3.12
dystopia,166,23.96,144.35,51.86,371.24,6.43,3.23
marvel comic,43,21.68,504.23,449.33,261.26,6.44,3.18
magic,81,20.71,255.7,100.0,348.05,6.49,3.23
woman director,457,20.2,44.2,5.13,230.87,6.15,3.2
violence,245,18.57,75.8,26.67,485.85,6.34,3.24
alien,100,17.48,174.82,71.48,208.45,6.09,3.13
imax,28,16.25,580.5,437.48,326.09,6.77,3.18
revenge,188,15.14,80.54,19.45,694797.37,6.26,3.1
friendship,167,14.28,85.5,23.2,436.91,6.52,3.37
musical,147,14.15,96.23,31.67,590.29,6.55,3.3
animation,47,13.83,294.3,186.05,1102.95,6.88,3.45
murder,305,13.26,43.48,12.89,283.68,6.28,3.22
saving the world,39,11.9,305.17,300.22,295.89,6.34,3.21
dying and death,94,11.16,118.7,44.97,627.18,6.83,3.6
space,34,11.14,327.64,110.58,239.89,6.41,3.12
love,190,11.0,57.89,11.91,1366.82,6.4,3.3
marvel cinematic universe,14,10.82,772.58,661.14,309.27,7.02,3.67
suspense,159,10.48,65.93,12.6,217.86,6.28,3.33
witch,54,10.37,192.11,47.74,9660.47,6.28,3.28
future,59,10.24,173.48,33.46,156.35,6.41,3.24
space opera,23,9.86,428.87,263.92,817.39,6.93,3.5
daughter,84,9.78,116.39,52.87,528.79,6.57,3.55
super powers,32,9.73,304.07,262.52,338.51,6.42,3.1
island,53,9.67,182.45,38.76,474.59,6.13,3.18
secret identity,40,9.66,241.61,154.3,363.89,6.47,3.24
spy,54,9.65,178.78,117.77,517.31,6.24,3.33
los angeles,127,9.61,75.66,40.49,11068610.45,6.33,3.19
monster,71,9.45,133.05,30.93,304.25,5.95,3.11
battle,38,9.34,245.9,50.86,256.55,6.48,3.32
airplane,73,9.32,127.69,60.0,624.35,6.18,3.19
ship,38,9.17,241.36,40.5,287.36,6.63,3.55
father son relationship,92,9.12,99.15,29.07,333.81,6.58,3.39
family,111,9.06,81.58,37.31,1171.77,6.39,3.36
spaceship,28,9.04,322.81,113.08,365.92,6.52,3.61
based on young adult novel,42,9.03,214.94,101.72,301.45,6.42,3.08
london england,93,9.02,96.99,42.09,477.46,6.45,3.31
