director,receita_total_bi,nota_metadata_media,nota_usuarios_media,qtd_filmes
Steven Spielberg,9.26,6.94,3.53,30
Peter Jackson,6.53,7.27,3.55,11
Michael Bay,6.44,6.39,2.99,13
James Cameron,5.9,7.31,3.71,8
David Yates,5.33,7.15,3.69,6
Christopher Nolan,4.75,7.72,3.91,10
Robert Zemeckis,4.14,6.86,3.36,17
Tim Burton,4.03,6.73,3.32,18
Ridley Scott,3.92,6.58,3.3,23
Chris Columbus,3.87,6.46,3.14,13
Roland Emmerich,3.8,5.93,2.78,11
Ron Howard,3.71,6.51,3.34,19
J.J. Abrams,3.58,7.08,3.56,5
Gore Verbinski,3.58,6.44,3.18,10
George Lucas,3.34,6.88,3.54,6
Sam Raimi,3.19,6.49,3.22,10
Francis Lawrence,3.18,6.8,3.27,6
Clint Eastwood,3.1,6.79,3.39,29
Bill Condon,3.02,6.16,3.03,8
Joss Whedon,2.96,7.48,3.82,4
Bryan Singer,2.81,6.65,3.35,8
Andrew Stanton,2.77,7.07,3.44,4
M. Night Shyamalan,2.73,6.01,2.59,10
Sam Mendes,2.71,6.93,3.66,7
Jon Favreau,2.64,6.51,3.18,8
Andrew Adamson,2.61,6.62,3.52,5
Carlos Saldanha,2.53,6.45,3.03,4
Kyle Balda,2.53,6.3,2.45,3
Zack Snyder,2.48,6.49,2.88,7
Barry Sonnenfeld,2.4,6.1,2.91,11
James Wan,2.38,6.9,3.24,7
Justin Lin,2.3,6.5,2.96,6
John Lasseter,2.26,6.84,3.2,5
Shawn Levy,2.22,6.04,2.73,10
Steven Soderbergh,2.16,6.23,3.18,17
Pete Docter,2.16,7.73,3.95,3
David Fincher,2.14,7.35,3.76,10
Tony Scott,2.13,6.48,3.29,16
Ron Clements,2.04,7.14,3.44,7
Anthony Russo,2.0,6.7,3.4,3
F. Gary Gray,2.0,6.69,3.41,9
Martin Scorsese,1.99,7.39,3.86,19
Brett Ratner,1.98,6.21,3.02,8
Raja Gosnell,1.93,5.43,1.94,9
Martin Campbell,1.87,6.18,3.0,8
Wolfgang Petersen,1.82,6.57,3.39,10
