title,release_year,primary_genre,director,revenue,budget,profit,roi,vote_average,user_rating_avg,vote_count,user_rating_count
Avatar,2009,Action,James Cameron,2787965087.0,237000000.0,2550965087.0,1076.36,7.2,3.64,12114.0,67.0
Star Wars: The Force Awakens,2015,Action,J.J. Abrams,2068223624.0,245000000.0,1823223624.0,744.17,7.5,3.52,7993.0,29.0
Titanic,1997,Drama,James Cameron,1845034188.0,200000000.0,1645034188.0,822.52,7.5,3.33,7770.0,164.0
The Avengers,2012,Science Fiction,Joss Whedon,1519557910.0,220000000.0,1299557910.0,590.71,7.4,4.01,12000.0,46.0
Jurassic World,2015,Action,Colin Trevorrow,1513528810.0,150000000.0,1363528810.0,909.02,6.5,3.44,8842.0,9.0
Furious 7,2015,Action,James Wan,1506249360.0,190000000.0,1316249360.0,692.76,7.3,2.25,4253.0,2.0
Avengers: Age of Ultron,2015,Action,Joss Whedon,1405403694.0,280000000.0,1125403694.0,401.93,7.3,3.88,6908.0,13.0
Harry Potter and the Deathly Hallows: Part 2,2011,Family,David Yates,1342000000.0,125000000.0,1217000000.0,973.6,7.9,4.22,6141.0,34.0
Frozen,2013,Animation,Chris Buck,1274219009.0,150000000.0,1124219009.0,749.48,7.3,4.04,5440.0,12.0
Beauty and the Beast,2017,Family,Bill Condon,1262886337.0,160000000.0,1102886337.0,689.3,6.8,,5530.0,
The Fate of the Furious,2017,Action,F. Gary Gray,1238764765.0,250000000.0,988764765.0,395.51,6.8,,3803.0,
Iron Man 3,2013,Action,Shane Black,1215439994.0,200000000.0,1015439994.0,507.72,6.8,3.5,8951.0,21.0
Minions,2015,Family,Kyle Balda,1156730962.0,74000000.0,1082730962.0,1463.15,6.4,2.9,4729.0,5.0
Captain America: Civil War,2016,Adventure,Anthony Russo,1153304495.0,250000000.0,903304495.0,361.32,7.1,3.57,7462.0,7.0
Transformers: Dark of the Moon,2011,Action,Michael Bay,1123746996.0,195000000.0,928746996.0,476.28,6.1,2.72,3351.0,9.0
The Lord of the Rings: The Return of the King,2003,Adventure,Peter Jackson,1118888979.0,94000000.0,1024888979.0,1090.31,8.1,4.13,8226.0,176.0
Skyfall,2012,Action,Sam Mendes,1108561013.0,200000000.0,908561013.0,454.28,6.9,3.94,7718.0,24.0
Transformers: Age of Extinction,2014,Science Fiction,Michael Bay,1091405097.0,210000000.0,881405097.0,419.72,5.8,2.1,3136.0,5.0
The Dark Knight Rises,2012,Action,Christopher Nolan,1084939099.0,250000000.0,834939099.0,333.98,7.6,3.69,9263.0,48.0
Toy Story 3,2010,Animation,Lee Unkrich,1066969703.0,200000000.0,866969703.0,433.48,7.6,4.07,4710.0,42.0
