keyword,qtd_filmes,receita_media_mi,nota_usuarios_media
woman director,2947,44.2,3.28
independent film,1894,6.28,3.45
murder,1278,43.48,3.27
based on novel,812,108.25,3.4
musical,723,96.23,3.31
sex,675,31.84,3.22
violence,644,75.8,3.25
nudity,621,31.93,3.27
revenge,616,80.54,3.17
biography,607,47.2,3.48
suspense,576,65.93,3.36
love,559,57.89,3.38
female nudity,546,28.47,3.12
sport,527,50.16,3.19
police,446,49.65,3.37
duringcreditsstinger,440,184.28,2.98
teenager,431,49.15,3.12
sequel,423,227.43,2.7
friendship,401,85.5,3.41
world war ii,389,75.25,3.63
drug,354,29.54,3.27
prison,345,58.21,3.44
stand-up comedy,341,13.53,4.09
high school,312,40.38,3.12
martial arts,307,92.66,3.35
suicide,305,40.92,3.41
silent film,304,10.67,3.87
rape,303,39.47,3.4
film noir,300,8.47,3.7
kidnapping,298,65.88,3.14
family,286,81.58,3.26
serial killer,286,43.55,2.99
monster,277,133.05,3.16
alien,274,174.82,3.16
dystopia,268,144.35,3.27
new york,265,71.48,3.22
blood,263,50.11,3.09
paris,262,89.05,3.44
short,259,26.84,4.07
gay,257,27.29,3.82
marriage,250,55.13,3.3
christmas,244,86.23,3.26
death,242,53.99,3.14
gore,241,57.3,3.11
gangster,241,56.02,3.29
zombie,237,83.02,3.2
small town,236,39.29,3.38
london england,232,96.99,3.4
detective,232,67.0,3.4
aftercreditsstinger,231,232.1,3.15
prostitute,231,41.68,3.29
romance,224,116.52,3.24
robbery,222,52.46,3.3
male nudity,221,41.73,3.29
father son relationship,220,99.15,3.45
vampire,219,108.19,3.07
wedding,219,86.41,3.12
los angeles,218,75.66,3.17
escape,213,102.29,3.25
dog,212,88.76,3.42
holiday,207,101.11,3.14
teacher,205,49.33,3.43
war,204,135.19,3.49
magic,203,255.7,3.25
hospital,202,68.97,3.24
jealousy,196,59.14,3.41
ghost,194,123.07,3.16
remake,193,93.23,2.89
doctor,193,77.65,3.31
music,193,44.9,3.43
island,189,182.45,3.18
party,189,41.97,3.23
spy,183,178.78,3.46
daughter,183,116.39,3.48
new york city,183,84.93,3.33
based on true story,183,56.83,3.58
lgbt,181,17.09,3.83
investigation,180,76.08,3.28
japan,177,71.55,3.59
superhero,175,365.44,3.08
brother brother relationship,174,75.18,3.28
money,174,58.78,3.43
infidelity,174,33.29,3.31
torture,173,69.61,3.27
